ds,y
2020/8/9,6
2020/8/16,4
2020/8/23,15
2020/8/30,13
2020/9/6,31
2020/9/13,54
2020/9/20,39
2020/9/27,63
2020/10/4,96
2020/10/11,98
2020/10/18,126
2020/10/25,159
2020/11/1,242
2020/11/8,390
2020/11/15,652
2020/11/22,728
2020/11/29,1160
2020/12/6,1675
2020/12/13,2576
2020/12/20,4361
2020/12/27,3588
2021/1/3,3770
2021/1/10,6295
2021/1/17,11874
2021/1/24,16074
2021/1/31,14694
2021/2/7,10813
2021/2/14,9277
2021/2/21,6516
2021/2/28,5181
2021/3/7,4236
2021/3/14,4217
2021/3/21,3008
2021/3/28,2635
2021/4/4,2114
2021/4/11,1716
2021/4/18,1872
2021/4/25,1285
2021/5/2,724
2021/5/9,496
2021/5/16,251
2021/5/23,123
2021/5/30,48
2021/6/6,26
2021/6/13,27
2021/6/20,17
2021/6/27,17
2021/7/4,45
2021/7/11,31
2021/7/18,38
2021/7/25,60
2021/8/1,95
2021/8/8,36
2021/8/15,29
2021/8/22,40
2021/8/29,58
2021/9/5,71
2021/9/12,88
2021/9/19,67
2021/9/26,79
2021/10/3,56
2021/10/10,68
2021/10/17,99
2021/10/24,142
2021/10/31,234
2021/11/7,226
2021/11/14,360
2021/11/21,775
2021/11/28,1323
2021/12/5,2189
2021/12/12,3756
2021/12/19,5821
2021/12/26,6721
2022/1/2,4357
2022/1/9,9456
2022/1/16,20612
2022/1/23,22504
2022/1/30,22104
2022/2/6,16376
2022/2/13,9137
2022/2/20,6963
2022/2/27,4988
2022/3/6,3272
2022/3/13,2185
2022/3/20,1204
2022/3/27,788
2022/4/3,452
2022/4/10,358
2022/4/17,374
2022/4/24,299
2022/5/1,96
2022/5/8,93
2022/5/15,74
2022/5/22,66
2022/5/29,63
2022/6/5,50
2022/6/12,29
2022/6/19,35
2022/6/26,13
2022/7/3,28
2022/7/10,22
2022/7/17,6
2022/7/24,8
2022/7/31,10
2022/8/7,9
2022/8/14,12
2022/8/21,4
2022/8/28,10
2022/9/4,34
2022/9/11,87
2022/9/18,79
2022/9/25,71
2022/10/2,100
2022/10/9,42
2022/10/16,56
2022/10/23,67
2022/10/30,83
2022/11/6,186
2022/11/13,251
2022/11/20,208
2022/11/27,392
2022/12/4,654
2022/12/11,1117
2022/12/18,3233
2022/12/25,4545
2023/1/1,3156
2023/1/8,13064
2023/1/15,21850
2023/1/22,26635
2023/1/29,18926
2023/2/5,10421
2023/2/12,4281
2023/2/19,2739
2023/2/26,1434
2023/3/5,920
2023/3/12,525
2023/3/19,406
2023/3/26,345
2023/4/2,439
2023/4/9,555
2023/4/16,1339
2023/4/23,1191
2023/4/30,229
2023/5/7,337
2023/5/14,361
2023/5/21,218
2023/5/28,143
2023/6/4,110
2023/6/11,87
2023/6/18,67
2023/6/25,31
2023/7/2,24
2023/7/9,36
2023/7/16,36
2023/7/23,36
2023/7/30,55
2023/8/6,50
2023/8/13,61
2023/8/20,51
2023/8/27,100
2023/9/3,202
2023/9/10,387
2023/9/17,437
2023/9/24,402
2023/10/1,435
2023/10/8,411
2023/10/15,243
2023/10/22,284
2023/10/29,461
2023/11/5,460
2023/11/12,828
2023/11/19,1229
2023/11/26,2550
2023/12/3,4293
2023/12/10,7019
2023/12/17,9340
2023/12/24,9622
2023/12/31,1787
2024/1/7,6000
2024/1/14,4889
2024/1/21,5586
2024/1/28,4653
2024/2/4,2830
2024/2/11,2480
2024/2/18,2085
2024/2/25,1490
2024/3/3,968
2024/3/10,372
2024/3/17,144
2024/3/24,73
2024/3/31,13
2024/4/7,14
2024/4/14,0
2024/4/21,2
2024/4/28,0
2024/5/5,0
2024/5/12,0
2024/5/19,1
2024/5/26,0
2024/6/2,0
2024/6/9,0
2024/6/16,0
2024/6/23,0
2024/6/30,0
2024/7/7,0
2024/7/14,0
2024/7/21,0
2024/7/28,0
2024/8/4,0
2024/8/11,1
2024/8/18,0
2024/8/25,0
2024/9/1,0
2024/9/8,0
2024/9/15,0
2024/9/22,0
2024/9/29,0
2024/10/6,1
2024/10/13,1
2024/10/20,2
2024/10/27,4
2024/11/3,4
2024/11/10,2
2024/11/17,5
2024/11/24,4
2024/12/1,3
2024/12/8,4
2024/12/15,3
2024/12/22,2
2024/12/29,1
2025/1/5,9166
2025/1/12,4297
2025/1/19,2759
2025/1/26,1586
2025/2/2,1129
2025/2/9,685
2025/2/16,658
2025/2/23,589
2025/3/2,772
2025/3/9,865
2025/3/16,810
2025/3/23,798
2025/3/30,495
2025/4/6,519
2025/4/13,394
2025/4/20,372
2025/4/27,234
2025/5/4,185
2025/5/11,174
2025/5/18,132
2025/5/25,102
2025/6/1,84
2025/6/8,96
2025/6/15,60
2025/6/22,84
2025/6/29,104
2025/7/6,92
2025/7/13,96
2025/7/20,186
2025/7/27,176
2025/8/3,107
